animal_name;fourrure épaisse;Troupeau ou groupe;charognard;queue rayée;griffes;desert;sang humain;nocturne;long cou;défenses;cornes;Creux de la main;Petit d un animal;Ville;Comestible en europe;Proche de l eau;Forêt;Jungle;Canindé;Félin;Savane africaine;Poids;Poils;Plumes;Oeufs;Lait;Vole;Aquatique;Predateur;Dents;Colonne vertebrale;Respirer;Venimeux;Nageoires;Queue;Domestique;0_pattes;2_pattes;4_pattes;5_pattes;6_pattes;8_pattes;Mammifères;Oiseaux;Reptile;Poisson;Amphibien;Insecte;Invertébré
Zèbre;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Agneau;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0
Souris;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0
Rat;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0
Singe;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Koala;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Poussin;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Orque;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Cheval;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0
Lapin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0
Daim;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Coq;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Chevreuil;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Pandas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
